Phase,Seq,Topic / Concept,Level,Modality,Source,Item,Link,Purpose for the learner,ID Guidance,Maynard Skills,Specific Location
3. First hands-on,15,ASU ChatGPT resources,Foundational,Practical,Canvas,ASU ChatGPT resources for faculty,https://canvas.asu.edu/courses/157584/pages/maximizing-teaching-efficacy-with-asus-chatgpt-resources,Get access to ASU's enterprise ChatGPT entitlement.,Must come before any prompting practice — learners need a tool to type into.,"1, 3, 14",Canvas page: maximizing-teaching-efficacy-with-asus-chatgpt-resources
3. First hands-on,16,AI Playground,Foundational,Tool,LX ASU AI,The AI Playground,https://lx.asu.edu/ai/foundations,ASU's sandbox for trying multiple AI tools in one place.,Best low-stakes environment for the first prompt.,"1, 14","Foundations page, 'Featured use cases → The AI Playground' section"
3. First hands-on,17,Module 1 / Experimenting with GenAI at ASU,Foundational,Activity,Articulate Rise,Module 1: Fundamentals of Generative AI – Experimenting with GenAI at ASU,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/J4bNGWxtic5oznXuy5BC_gwfhfAMsE1A,Guided first experiment with GenAI in an ASU context.,Pair with the Playground for an activity-anchored first use.,"1, 14","Module 1: Fundamentals of Generative AI, section: Experimenting with GenAI at ASU"
3. First hands-on,18,Module 2 / Do you know what AI,Foundational,Lesson section,Articulate Rise,Module 2: Awareness of GenAI Applications – Do you know what AI can do?,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/_3dr-VqskB18C8sq3TPuSG2e-zUIxdTC,Calibrate expectations about what GenAI can and cannot do.,Run after first hands-on so reflection has something to anchor to.,"1, 14","Module 2: Awareness of GenAI Applications, section: Do you know what AI can do?"
4. Prompting,19,Input quality,Foundational,Reading,PDF,Input quality = output quality,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Foundational principle: prompt quality drives output quality.,Open Phase 4 with this — it justifies everything that follows.,"2, 5",PDF page 2
4. Prompting,20,Zero-Shot,Foundational,Reading,PDF,Zero-Shot Prompting,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,The simplest prompt pattern: a single direct instruction.,First pattern to learn — gives a complete win immediately.,"2, 5",PDF page 2
4. Prompting,21,Module 4 / Steps for an effective prompt,Foundational,Lesson section,Articulate Rise,Module 4: Designing Prompts – Steps for an effective prompt,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/K0OMFl0s_2SIUThBCuYlAR63-lF5xI9P,Step-by-step procedure for writing a better prompt.,Interactive reinforcement of the foundational pattern.,"2, 5","Module 4: Designing Prompts, section: Steps for an effective prompt"
4. Prompting,22,RTF Framework,Foundational,Reading,PDF,RTF Framework: Role–Task–Format,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=5,Role–Task–Format: the simplest reusable framework.,"First framework — concrete, three slots, hard to get wrong.","2, 5",PDF page 5
4. Prompting,23,Few-Shot,Intermediate,Reading,PDF,Few-Shot Prompting,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Provide examples in the prompt — should be ~80% of practical prompting.,The biggest single jump in output quality; spend time here.,"2, 5",PDF page 2
4. Prompting,24,Chain of Thought,Intermediate,Reading,PDF,Chain of Thought,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Ask the model to walk through reasoning before answering.,Use for any task where logic matters.,"2, 5",PDF page 2
4. Prompting,25,Hashtags,Intermediate,Reading,PDF,Hashtags (#) for prompt structure,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=3,Use #Role #Task #Audience #Format labels to structure prompts.,Practical structuring tool — pairs with RTF.,"2, 5",PDF page 3
4. Prompting,26,Module 4 / Uses and example prompts,Intermediate,Lesson section,Articulate Rise,Module 4: Designing Prompts – Uses and example prompts,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/mLUbJCZLDsudL59sErOmxBSYEePgUUYF,Sample prompts for common educator tasks.,Lets learners borrow and adapt rather than start from blank.,"2, 5","Module 4: Designing Prompts, section: Uses and example prompts"
4. Prompting,27,Strategies for crafting effective prompts,Intermediate,Reading,Canvas,Strategies for crafting effective prompts,https://canvas.asu.edu/courses/157584/pages/module-4-overview-2,Canvas-side reinforcement of prompting strategies with knowledge checks.,Use as the assessable touchpoint in this phase.,"2, 5",Canvas page: module-4-overview-2
4. Prompting,28,Tree of Thought,Advanced,Reading,PDF,Tree of Thought,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Generate multiple distinct reasoning paths for comparison.,Introduce only after Chain of Thought is solid.,"2, 5",PDF page 2
4. Prompting,29,Metaprompting,Advanced,Reading,PDF,Metaprompting,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=3,Ask the AI to improve your prompt or expose what you missed.,High-leverage move once learners are comfortable iterating.,"2, 5",PDF page 3
4. Prompting,30,RODES,Advanced,Reading,PDF,RODES: Role–Objective–Details–End–Sense Check,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=5,"Five-part framework with built-in self-check, for high-stakes deliverables.",Use when learners are producing real artifacts.,"2, 5",PDF page 5
4. Prompting,31,Advanced Prompting Strategies,Advanced,Featured page,LX ASU AI,Advanced Prompting Strategies,https://lx.asu.edu/ai/foundations,ASU-curated showcase of advanced prompting moves.,Use as a 'where to go next' link after the PDF advanced techniques.,"2, 5","Foundations page, 'Prompting' section; Video: https://www.youtube.com/watch?v=tB9evEvq0Ck"
4. Prompting,32,Module 4 / Advanced prompting strategies,Advanced,Lesson section,Articulate Rise,Module 4: Designing Prompts – Advanced prompting strategies for educators,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/p3bPg3Uzqc0OEzzXPfnBcNHva1NtQlFT,Educator-tailored advanced prompting walkthrough.,Best modality for learners who want guided audio/visual on advanced moves.,"2, 5","Module 4: Designing Prompts, section: Advanced prompting strategies for educators"
5. Trust & verify output,33,Key terms for evaluating,Foundational,Reading,Canvas,Key terms for evaluating GenAI outputs,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,"Vocabulary for evaluating AI outputs (hallucination, bias, accuracy).",Open Phase 5 with shared language.,"3, 4, 10",Canvas page: module-5-overview-2
5. Trust & verify output,34,Identify hallucinations,Intermediate,Reading,Canvas,Identify hallucinations and bias,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,Practice spotting hallucinations and bias in a real ChatGPT conversation.,Diagnostic activity — must come before evaluation frameworks.,"3, 4, 10",Canvas page: module-5-overview-2
5. Trust & verify output,35,"Module 5 / Outputs, model structure",Intermediate,Lesson section,Articulate Rise,"Module 5: Evaluating Outputs – Outputs, model structure & influences",https://rise.articulate.com/share/neRp9GXIiP_1H2ekM4AMptyl07aL4qYf#/lessons/p0hlrcmzSrbDFAl04IOfbCLlJReJtJbe,How model structure and training data shape what comes out.,Connects mechanism (Phase 2) to output evaluation.,"3, 4","Module 5: Evaluating Outputs, section: Outputs, model structure & influences"
5. Trust & verify output,36,Apply RACCCA,Advanced,Reading,Canvas,Apply RACCCA evaluation method,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,"Use the RACCCA framework (Relevance, Accuracy, Currency, Credibility, Coverage, Audience) on real output.",Apply to a real artifact the learner produced in Phase 4.,"3, 4",Canvas page: module-5-overview-2
5. Trust & verify output,37,Module 5 / RACCCA,Advanced,Lesson section,Articulate Rise,Module 5: Evaluating Outputs – RACCCA: evaluating AI output,https://rise.articulate.com/share/neRp9GXIiP_1H2ekM4AMptyl07aL4qYf#/lessons/UCOXv7CqR8t-vjK253QRvY42IMH0zgq5,Interactive walkthrough of RACCCA in a Rise lesson.,Use if the Canvas RACCCA page is too dense.,"3, 4","Module 5: Evaluating Outputs, section: RACCCA: evaluating AI output"
5. Trust & verify output,38,Risks and limitations of LLMs,Advanced,Reading,Canvas,Risks and limitations of LLMs,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,"Critical evaluation of LLM impacts, risks, and limitations.",Closes the trust phase with informed skepticism.,"3, 4, 10",Canvas page: module-5-overview-2
6. Responsible use,39,Ethical AI key terms,Foundational,Reading,Canvas,Ethical AI key terms,https://canvas.asu.edu/courses/157584/pages/module-3-overview-2,Vocabulary for responsible AI use.,Open with shared language.,"9, 10, 12",Canvas page: module-3-overview-2
6. Responsible use,40,Principled Innovation,Foundational,Hub page,AI-X Framework,Principled Innovation,https://aix-framework.lei-tech.org/principled-innovation,ASU's Principled Innovation framing — the ethical lens behind every AI-X tool.,Critical foundational frame — many later resources assume learners know this.,"9, 10, 12",Principled Innovation overview page
6. Responsible use,41,Module 3 / Core values,Foundational,Lesson section,Articulate Rise,Module 3: Ethics & Responsible Use – Core values for AI use,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/tai1yFyVRajyPWKuEhr_OV74I_C6iUok,Anchor values that should guide GenAI adoption.,Pairs with Principled Innovation as a values introduction.,"9, 10, 12","Module 3: Ethics & Responsible Use, section: Core values for AI use"
6. Responsible use,42,AI Tools at ASU,Foundational,Tool inventory,LX ASU AI,AI Tools at ASU,https://lx.asu.edu/ai/foundations,Which AI tools are approved and how to access them.,Practical answer to 'what am I allowed to use?' — gives the policy steps that follow something concrete to attach to.,"1, 9, 10, 12","Foundations page, 'AI Tools at ASU' section"
6. Responsible use,43,"Fairness, security, transparency",Intermediate,Reading,Canvas,"Fairness, security, transparency in AI use",https://canvas.asu.edu/courses/157584/pages/module-3-overview-2,"Apply fairness, security, and transparency considerations to AI use.",First applied responsibility step.,"9, 10, 12",Canvas page: module-3-overview-2
6. Responsible use,44,Module 3 / Risks and benefits,Intermediate,Lesson section,Articulate Rise,Module 3: Ethics & Responsible Use – Risks and benefits of GenAI,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/4RYoG2M2PTeGho2YVa6Zadk0cuwT64rC,Balanced view of opportunities vs risks.,Use for learners who need both sides before forming an opinion.,"9, 10, 12","Module 3: Ethics & Responsible Use, section: Risks and benefits of GenAI"
6. Responsible use,45,VITRA,Intermediate,Reading,Canvas,Vendor IT Risk Assessment (VITRA),https://canvas.asu.edu/courses/157584/pages/the-important-role-of-vendor-it-risk-assessment-vitra,ASU's required Vendor IT Risk Assessment process before integrating any third-party AI tool.,Required policy knowledge — flag as mandatory for anyone selecting tools.,"1, 9, 10, 12",Canvas page: the-important-role-of-vendor-it-risk-assessment-vitra
6. Responsible use,46,VITRA Process,Intermediate,Featured page,LX ASU AI,AI and the VITRA Process,https://lx.asu.edu/ai/foundations,How VITRA applies in practice when picking AI tools.,Apply-it follow-up to the Canvas VITRA reading.,"1, 9, 10, 12","Foundations page, 'Featured use cases → AI and the VITRA Process' section"
6. Responsible use,47,"Module 3 / Equity, data security",Advanced,Lesson section,Articulate Rise,"Module 3: Ethics & Responsible Use – Equity, data security, privacy & research",https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/ndxtnxm6vFVx77d7_BV9LSmXGZcn5zZe,"Equity, privacy, security, and research-integrity considerations.",Advanced multi-domain critical issue — for learners ready to weigh tradeoffs.,"3, 9, 10, 12","Module 3: Ethics & Responsible Use, section: Equity, data security, privacy & research"
6. Responsible use,48,Develop an AI policy,Advanced,Reading,Canvas,Develop an AI policy/vision,https://canvas.asu.edu/courses/157584/pages/module-3-overview-2,Draft an ethical AI policy/vision for your course or unit.,Synthesis activity — produces a tangible artifact.,"9, 10, 12",Canvas page: module-3-overview-2
7. Apply to teaching,49,Importance of well-crafted prompts,Foundational,Reading,Canvas,Importance of well-crafted prompts,https://canvas.asu.edu/courses/157584/pages/module-4-overview-2,Reconnect prompting to teaching outcomes.,Bridges Phase 4 into the teaching context.,"9, 11",Canvas page: module-4-overview-2
7. Apply to teaching,50,Syllabus statements,Intermediate,Reading,Canvas,Syllabus statements for generative AI,https://canvas.asu.edu/courses/157584/pages/syllabus-statements-for-generative-ai,Sample/required language for communicating AI policy in a syllabus.,Concrete deliverable — most learners will need this.,"9, 11",Canvas page: syllabus-statements-for-generative-ai
7. Apply to teaching,51,AI-Enhanced Assignments,Intermediate,Page,LX ASU AI,AI-Enhanced Assignments,https://lx.asu.edu/ai/ai-enhanced-learning,Designing assignments that integrate GenAI thoughtfully.,Use for IDs and faculty redesigning assessments.,"9, 11","AI-enhanced learning page, 'AI-Enhanced Assignments' section"
7. Apply to teaching,52,AI-supported Teaching Practices,Intermediate,Page,LX ASU AI,AI-supported Teaching Practices,https://lx.asu.edu/ai/ai-enhanced-learning,Day-to-day teaching practices that leverage AI.,Idea bank for faculty looking for low-stakes adoption moves.,"9, 11","AI-enhanced learning page, 'AI-supported Teaching Practices' section"
7. Apply to teaching,53,Module 6 / Streamlining lesson planning,Intermediate,Lesson section,Articulate Rise,Module 6: Integrating GenAI into Teaching – Streamlining lesson planning with AI,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE#/lessons/KKbpjYxZVBe3q-3uuyie4Q8Aum181Ulq,Use AI to accelerate lesson-planning workflows.,High-impact early win for time-strapped faculty.,"9, 11","Module 6: Integrating GenAI into Teaching, section: Streamlining lesson planning with AI"
7. Apply to teaching,54,Module 6 / Facilitating technological literacy,Intermediate,Lesson section,Articulate Rise,Module 6: Integrating GenAI into Teaching – Facilitating technological literacy,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE#/lessons/-_YWWDeCNWbhrRqiygPgheIlz7QauuQO,Building AI/tech literacy among students.,Pedagogical practice — student-facing.,"9, 11","Module 6: Integrating GenAI into Teaching, section: Facilitating technological literacy"
7. Apply to teaching,55,Course design that fosters AI fluency,Advanced,Reading,Canvas,Course design that fosters AI fluency,https://canvas.asu.edu/courses/157584/pages/module-6-overview-2,"Design coursework so AI is a learning aid, not a substitute.",Synthesis design task.,"9, 11",Canvas page: module-6-overview-2
7. Apply to teaching,56,Module 6 / Rethinking assessment,Advanced,Lesson section,Articulate Rise,Module 6: Integrating GenAI into Teaching – Rethinking assessment with GenAI,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE#/lessons/AOxSmIBgqgGzIRln4YUSsTh5GqT_mccL,Redesign assessments in the age of GenAI.,Use for faculty whose assessments are now bypassable by AI.,"9, 11","Module 6: Integrating GenAI into Teaching, section: Rethinking assessment with GenAI"
7. Apply to teaching,57,"Inclusive, accessible AI assignments",Advanced,Reading,Canvas,"Inclusive, accessible AI assignments",https://canvas.asu.edu/courses/157584/pages/module-6-overview-2,Design GenAI-leveraging assignments that are inclusive and accessible.,Equity-centered closer for the faculty track.,"9, 11",Canvas page: module-6-overview-2
8. Design AI experiences (builder track),58,AI-X Framework overview,Foundational,Hub page,AI-X Framework,AI-X Framework overview,https://aix-framework.lei-tech.org/home,Orient to the four AI-X tools and how they fit the design process.,Switch tracks here: this phase is for learners who will BUILD AI-mediated learning.,12,AI-X Framework home page
8. Design AI experiences (builder track),59,AI-X Toolkit overview,Foundational,Hub page,AI-X Framework,AI-X Toolkit overview,https://aix-framework.lei-tech.org/aix-toolkit-home,Menu of design tools by stage (Challenge → Creation → Implementation → Investigation).,Use as a navigation map for the rest of Phase 8.,12,AI-X Toolkit home (stage selector)
8. Design AI experiences (builder track),60,Challenge: Getting Started,Foundational,Reading,AI-X Framework,Challenge: Getting Started,https://aix-framework.lei-tech.org/aix-toolkit/challenge-getting-started,"Define learning objectives, learners, and conditions before solutioning.",Always start here — prevents tool-first thinking.,12,Toolkit → Challenge stage → Getting Started
8. Design AI experiences (builder track),61,Five Whys,Intermediate,Tool,AI-X Framework,Five Whys Technique,https://aix-framework.lei-tech.org/aix-toolkit/five-whys,Iterative root-cause questioning for the educational problem.,Best when the stated problem feels too surface-level.,"2, 12",Toolkit → Challenge → Five Whys Technique
8. Design AI experiences (builder track),62,Task Analysis,Intermediate,Tool,AI-X Framework,Task Analysis,https://aix-framework.lei-tech.org/aix-toolkit/task-analysis,Decompose what learners must do into cognitive and procedural steps.,Use when designing for skill-based outcomes.,12,Toolkit → Challenge → Task Analysis
8. Design AI experiences (builder track),63,Personas,Intermediate,Tool,AI-X Framework,Personas & Learning Scenarios,https://aix-framework.lei-tech.org/aix-toolkit/personas,Build representative learner personas and scenarios.,Use to ground every design decision in a specific learner.,12,Toolkit → Challenge → Personas & Learning Scenarios
8. Design AI experiences (builder track),64,Stakeholder Needs,Intermediate,Tool,AI-X Framework,Stakeholder Needs & Values,https://aix-framework.lei-tech.org/aix-toolkit/stakeholder-needs,Surface needs and values of all impacted stakeholders.,Use before any technology selection.,12,Toolkit → Challenge → Stakeholder Needs & Values
8. Design AI experiences (builder track),65,Sense-Making Ethical,Advanced,Tool,AI-X Framework,Sense-Making Ethical Evaluation,https://aix-framework.lei-tech.org/aix-toolkit/ethical-evaluation,Structured ethical evaluation of an AI tool idea before building.,Required gate before moving from Challenge to Creation.,12,Toolkit → Challenge → Sense-Making Ethical Evaluation
8. Design AI experiences (builder track),66,AI-X Compass,Intermediate,Self-assessment,AI-X Framework,AI-X Compass (self-assessment),https://aix-framework.lei-tech.org/compass,20–25 minute guided self-assessment of an AI-X idea.,Use to formally close the Challenge stage.,12,AI-X Compass (interactive self-assessment tool)
8. Design AI experiences (builder track),67,Creation: Getting Started,Foundational,Reading,AI-X Framework,Creation: Getting Started,https://aix-framework.lei-tech.org/aix-toolkit/creation-getting-started,Orientation for design and development of an AI tool.,Stage transition into Creation.,12,Toolkit → Creation stage → Getting Started
8. Design AI experiences (builder track),68,Prototyping,Intermediate,Tool,AI-X Framework,Prototyping,https://aix-framework.lei-tech.org/aix-toolkit/prototyping,Build low/high-fidelity prototypes to test design intent.,Best practice: prototype before committing engineering.,12,Toolkit → Creation → Prototyping
8. Design AI experiences (builder track),69,Requirements,Intermediate,Tool,AI-X Framework,Requirements,https://aix-framework.lei-tech.org/aix-toolkit/requirements,Capture functional and non-functional requirements.,Use after prototyping; lets you scope realistically.,12,Toolkit → Creation → Requirements
8. Design AI experiences (builder track),70,Learning Sciences Roadmap,Advanced,Tool,AI-X Framework,Learning Sciences Roadmap,https://aix-framework.lei-tech.org/aix-toolkit/learning-sciences,Ground design decisions in learning-sciences research.,Use to defend design choices to academic stakeholders.,"3, 12",Toolkit → Creation → Learning Sciences Roadmap
8. Design AI experiences (builder track),71,Logic Model,Advanced,Tool,AI-X Framework,Logic Model,https://aix-framework.lei-tech.org/aix-toolkit/logic-model,Map inputs → activities → outputs → outcomes → impact.,Use when securing funding or running a pilot.,12,Toolkit → Creation → Logic Model
8. Design AI experiences (builder track),72,Data Plan,Advanced,Tool,AI-X Framework,Data Plan,https://aix-framework.lei-tech.org/aix-toolkit/data-plan,"Plan what data the tool collects, stores, and uses (privacy included).",Required before any pilot with real learners.,12,Toolkit → Creation → Data Plan
8. Design AI experiences (builder track),73,Implementation: Getting Started,Foundational,Reading,AI-X Framework,Implementation: Getting Started,https://aix-framework.lei-tech.org/aix-toolkit/implementation-getting-started,Orientation for testing the tool in real conditions.,Stage transition into Implementation.,12,Toolkit → Implementation stage → Getting Started
8. Design AI experiences (builder track),74,Accessibility Guide,Intermediate,Tool,AI-X Framework,Accessibility Guide,https://aix-framework.lei-tech.org/aix-toolkit/accessibility-guide,Practical guidance for accessible AI tools.,"Apply before, not after, learner testing.",12,Toolkit → Implementation → Accessibility Guide
8. Design AI experiences (builder track),75,Usability Testing,Intermediate,Tool,AI-X Framework,End-User & Usability Testing,https://aix-framework.lei-tech.org/aix-toolkit/usability-testing,Methods for testing usability with intended users.,Pair with the Accessibility Guide.,12,Toolkit → Implementation → End-User & Usability Testing
8. Design AI experiences (builder track),76,AI-X Guide,Advanced,Self-assessment,AI-X Framework,AI-X Guide (4-level reflection),https://aix-framework.lei-tech.org/guide,4-level (Implemented / Partial / Not Yet / N/A) self-evaluation across 8 themes.,"Use on a working prototype, not an idea.",12,AI-X Guide (4-level reflection tool)
8. Design AI experiences (builder track),77,Investigation: Getting Started,Foundational,Reading,AI-X Framework,Investigation: Getting Started,https://aix-framework.lei-tech.org/aix-toolkit/investigation-getting-started,Orientation for analyzing data about your tool.,Stage transition into Investigation.,12,Toolkit → Investigation stage → Getting Started
8. Design AI experiences (builder track),78,Data Collection Methods,Intermediate,Tool,AI-X Framework,Data Collection Methods Overview,https://aix-framework.lei-tech.org/aix-toolkit/data-collection,Comparison of methods for collecting effectiveness data.,Use to pick the right method for your research question.,12,Toolkit → Investigation → Data Collection Methods
8. Design AI experiences (builder track),79,Survey,Intermediate,Tool,AI-X Framework,Survey,https://aix-framework.lei-tech.org/aix-toolkit/survey,Design surveys for user feedback at scale.,Use when you need broad signal.,12,Toolkit → Investigation → Survey
8. Design AI experiences (builder track),80,Focus Groups,Intermediate,Tool,AI-X Framework,Focus Groups & Interviews,https://aix-framework.lei-tech.org/aix-toolkit/focus-groups,Qualitative methods for deeper user insight.,Use when 'why' matters more than 'how many'.,12,Toolkit → Investigation → Focus Groups & Interviews
8. Design AI experiences (builder track),81,A/B Testing,Advanced,Tool,AI-X Framework,A/B Testing,https://aix-framework.lei-tech.org/aix-toolkit/ab-testing,Compare tool variants with controlled experiments.,Use only when you have enough learners to power the test.,12,Toolkit → Investigation → A/B Testing
8. Design AI experiences (builder track),82,Building Custom Bots,Advanced,Page,LX ASU AI,Building Custom Bots and AI Agents,https://lx.asu.edu/ai/ai-enhanced-learning,How to build custom bots and AI agents for teaching.,Bridge from design framework into real construction.,"6, 12","AI-enhanced learning page, 'Building Custom Bots and AI Agents' section"
9. Scale with agents,83,progression: prompts,Foundational,Reading,PDF,AI progression: prompts → agents,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=8,Conceptual progression: Prompting → Structured → Tool Use → Agents.,Open Phase 9 with this — gives a foundational rung agents otherwise lack.,6,PDF page 8
9. Scale with agents,84,What makes an agent different,Advanced,Reading,PDF,What makes an agent different,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=8,"Defining characteristics: goal orientation, planning loop, tools, memory, iteration.",Use only after the progression is clear.,6,PDF page 8
9. Scale with agents,85,When to use an agent,Advanced,Reading,PDF,When to use an agent vs a prompt,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=8,Decision rule for picking an agent over a single prompt.,Critical decision support — many learners over-reach for agents.,6,PDF page 8
9. Scale with agents,86,Agent risks,Advanced,Reading,PDF,Agent risks & controls,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=9,"Risks (looping, hallucinated tool calls, cost) and the controls to apply.",Required reading before any production agent.,6,PDF page 9
