ID,Source,Topic,Summary,Learning Level,Direct Link,Leveling Rationale
11,Articulate Rise,Module 2: Awareness of GenAI Applications – Emerging generative AI applications,Newer / fast-moving GenAI tools to know about.,Intermediate,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/ix8OPJCMdEnZM1RiDtEjrl_s4uvqCHOu,Emerging tech awareness
12,Articulate Rise,Module 2: Awareness of GenAI Applications – Introducing AI tools to students,Guidance for bringing AI tools into the classroom.,Intermediate,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/fDoXpvJVseaJFChOBWQr7CPnbBmJX2e2,Pedagogy application
13,Articulate Rise,Module 2: Awareness of GenAI Applications – Navigating rapid GenAI advancements,How to keep up with the speed of change in GenAI.,Intermediate,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/8nYMFR2ApHs9kf9Jou1PaWJ6ZnmeArP4,Strategy/practice
14,Articulate Rise,Module 2: Awareness of GenAI Applications – Selecting generative AI tools,How to choose the right GenAI tool for a task.,Advanced,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/Z5dxYZCyoz-etmctzSP2CKqVZ4Ert-My,Evaluative selection
15,Articulate Rise,Module 3: Ethics & Responsible Use – Overview – Ethics & Responsible Use,Section overview introducing the ethics lesson.,Foundational,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/aeBFJRMYrnqOJvRsUojfrSwzDF9NNhxE,Overview
16,Articulate Rise,Module 3: Ethics & Responsible Use – Risks and benefits of GenAI,Balanced view of opportunities vs risks in GenAI use.,Intermediate,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/4RYoG2M2PTeGho2YVa6Zadk0cuwT64rC,Comparative analysis
17,Articulate Rise,Module 3: Ethics & Responsible Use – Core values for AI use,Anchor values that should guide GenAI adoption.,Foundational,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/tai1yFyVRajyPWKuEhr_OV74I_C6iUok,Conceptual values
18,Articulate Rise,Module 3: Ethics & Responsible Use – Use cases for ethical considerations,Concrete situations that surface ethical questions.,Intermediate,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/yusjGYNSzsEaAz1xki33UJbjry-uA0Ux,Scenario application
19,Articulate Rise,Module 3: Ethics & Responsible Use – Leading with principled innovation,ASU's principled-innovation framing for GenAI.,Advanced,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/lfOOxPLD3C0RdcvLPrswna-zhRy-Bd9b,Framework synthesis
20,Articulate Rise,Module 3: Ethics & Responsible Use – Cultivating student awareness and action,How to help students engage critically with AI.,Advanced,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/xQrHlduw5A3lKBRQTg_SQf19tuJskQb0,Pedagogical synthesis
21,Articulate Rise,"Module 3: Ethics & Responsible Use – Equity, data security, privacy & research","Equity, privacy, security, and research-integrity considerations.",Advanced,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/ndxtnxm6vFVx77d7_BV9LSmXGZcn5zZe,Multi-domain critical issue
22,Articulate Rise,Module 3: Ethics & Responsible Use – Taking action: ethical AI in practice,Concrete steps faculty can take to use AI ethically.,Advanced,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/UfByxFZtLbjtDGo9ieTpik-g7RXc-USM,Action synthesis
23,Articulate Rise,Module 4: Designing Prompts – Overview – Designing Prompts,Section overview introducing the prompting lesson.,Foundational,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/3wJL19iViR-ESoET4nAiVIUIRjEk7Ob3,Overview
24,Articulate Rise,Module 4: Designing Prompts – Steps for an effective prompt,Step-by-step procedure for writing better prompts.,Foundational,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/K0OMFl0s_2SIUThBCuYlAR63-lF5xI9P,Procedural foundation
25,Articulate Rise,Module 4: Designing Prompts – Uses and example prompts,Sample prompts for common educator tasks.,Intermediate,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/mLUbJCZLDsudL59sErOmxBSYEePgUUYF,Applied examples
26,Articulate Rise,Module 4: Designing Prompts – Advanced prompting strategies for educators,More sophisticated techniques tailored to teaching.,Advanced,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/p3bPg3Uzqc0OEzzXPfnBcNHva1NtQlFT,Advanced technique
27,Articulate Rise,Module 4: Designing Prompts – Plugins,How plugins/tools extend GenAI capability.,Advanced,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/iI48TfF4jhyuwEqlN8s0TCmU9LkRSEa7,Tool extension
28,Articulate Rise,Module 4: Designing Prompts – Prompt literacy and guidelines,Guidelines and literacy framework for prompting.,Intermediate,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/zA69bcNwNVcQc7JJF5jAyPJW4ABG6PuP,Conceptual+applied
29,Articulate Rise,Module 4: Designing Prompts – Demonstration: prompt engineering (Jacob Green),Recorded walkthrough of prompt engineering.,Intermediate,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/D2A6OiwS5AWp82Yk-pHnXUS-xVCOnZCy,Worked example
30,Articulate Rise,Module 4: Designing Prompts – Creating effective prompts (capstone),Synthesizing techniques into your own effective prompts.,Advanced,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/9_UJmkGPOlDeBmpufnhTGMLc0io5X3DX,Synthesis
31,Articulate Rise,Module 5: Evaluating Outputs – Overview – Evaluating Outputs,Section overview introducing the evaluation lesson.,Foundational,https://rise.articulate.com/share/neRp9GXIiP_1H2ekM4AMptyl07aL4qYf#/lessons/LGw8pjmtLF7aevZa24AnXh5MrB4CKFr-,Overview
32,Articulate Rise,"Module 5: Evaluating Outputs – Outputs, model structure & influences",How model structure and training data shape outputs.,Intermediate,https://rise.articulate.com/share/neRp9GXIiP_1H2ekM4AMptyl07aL4qYf#/lessons/p0hlrcmzSrbDFAl04IOfbCLlJReJtJbe,Mechanistic understanding
33,Articulate Rise,Module 5: Evaluating Outputs – RACCCA: evaluating AI output,"Use RACCCA (Relevance, Accuracy, Currency, Credibility, Coverage, Audience) to evaluate output.",Advanced,https://rise.articulate.com/share/neRp9GXIiP_1H2ekM4AMptyl07aL4qYf#/lessons/UCOXv7CqR8t-vjK253QRvY42IMH0zgq5,Evaluation framework
34,Articulate Rise,Module 5: Evaluating Outputs – Practical use & challenges of AI,Real-world challenges with AI in educator workflows.,Intermediate,https://rise.articulate.com/share/neRp9GXIiP_1H2ekM4AMptyl07aL4qYf#/lessons/1cFP6vWxjuGcENLFDOc2rVQTJ8YZnU4G,Applied challenges
35,Articulate Rise,Module 5: Evaluating Outputs – Evaluating & enhancing GenAI outputs for education,Strategies to improve AI output quality for course use.,Advanced,https://rise.articulate.com/share/neRp9GXIiP_1H2ekM4AMptyl07aL4qYf#/lessons/r2ChwTwrETgBrnzNf-angy6Qw5ZJKhSb,Synthesis/refinement
36,Articulate Rise,Module 6: Integrating GenAI into Teaching – Overview – Integrating GenAI into Teaching,Section overview introducing the integration lesson.,Foundational,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE#/lessons/vJ_ut7o90g_BkUXC7yAfB-bCreFbC2zO,Overview
37,Articulate Rise,Module 6: Integrating GenAI into Teaching – Implementing tools in lessons & assignments,Practical patterns for embedding AI tools in lessons.,Advanced,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE#/lessons/HhKDTd3rVvTOZnGzYGTP0T_vgtIGyTF2,Applied design
38,Articulate Rise,Module 6: Integrating GenAI into Teaching – Streamlining lesson planning with AI,Use AI to accelerate lesson-planning workflows.,Intermediate,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE#/lessons/KKbpjYxZVBe3q-3uuyie4Q8Aum181Ulq,Workflow application
39,Articulate Rise,Module 6: Integrating GenAI into Teaching – Facilitating technological literacy,Building AI/tech literacy among students.,Intermediate,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE#/lessons/-_YWWDeCNWbhrRqiygPgheIlz7QauuQO,Pedagogical practice
40,Articulate Rise,Module 6: Integrating GenAI into Teaching – Rethinking assessment with GenAI,How to redesign assessments in the age of GenAI.,Advanced,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE#/lessons/AOxSmIBgqgGzIRln4YUSsTh5GqT_mccL,Assessment redesign
