Bloom Phase,Phase Name,Bloom Level,Seq,Maynard Skill(s),Primary Skill Name,Item,Learning Level,Modality,Source,Direct Link,Purpose for the Learner,Specific Location,Original Phase,Status
1,Understand the Landscape,Remember / Understand,7,10,Discuss AI possibilities & limitations,How AI Systems Work,Foundational,Reading,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/how-ai-works,Plain-language explanation of how AI systems function.,Toolkit → Challenge → How AI Systems Work,2. How it works (lightly),Existing
1,Understand the Landscape,Remember / Understand,8,10,Discuss AI possibilities & limitations,Tokenization: how GenAI works,Intermediate,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,Models predict tokens one at a time — the mechanism behind output.,PDF page 1,2. How it works (lightly),Existing
1,Understand the Landscape,Remember / Understand,9,"4, 10",Discuss AI possibilities & limitations,Key mindset shift: probability engine,Intermediate,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=1,"Mindset shift: GenAI predicts tokens, not concepts.",PDF page 1,2. How it works (lightly),Existing
1,Understand the Landscape,Remember / Understand,10,10,Discuss AI possibilities & limitations,Differentiate GPT vs LLM,Intermediate,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-1-overview-3,Distinguish a GPT (specific model) from an LLM (broader category).,Canvas page: module-1-overview-3,2. How it works (lightly),Existing
2,Choose & Attribute,Understand / Apply,1,"1, 3, 14",Choose the right AI tool,ASU ChatGPT resources for faculty,Foundational,Practical,Canvas,https://canvas.asu.edu/courses/157584/pages/maximizing-teaching-efficacy-with-asus-chatgpt-resources,Get access to ASU's enterprise ChatGPT entitlement.,Canvas page: maximizing-teaching-efficacy-with-asus-chatgpt-resources,3. First hands-on,Existing
2,Choose & Attribute,Understand / Apply,2,"1, 14",Choose the right AI tool,The AI Playground,Foundational,Tool,LX ASU AI,https://lx.asu.edu/ai/foundations,ASU's sandbox for trying multiple AI tools in one place.,"Foundations page, 'Featured use cases → The AI Playground' section",3. First hands-on,Existing
2,Choose & Attribute,Understand / Apply,3,"1, 14",Choose the right AI tool,Module 1: Experimenting with GenAI at ASU,Foundational,Activity,Articulate Rise,https://rise.articulate.com/share/3lU5J_haoXgNR9QKQORI67zuM2Qix_sv#/lessons/J4bNGWxtic5oznXuy5BC_gwfhfAMsE1A,Guided first experiment with GenAI in an ASU context.,"Module 1: Fundamentals of Generative AI, section: Experimenting with GenAI at ASU",3. First hands-on,Existing
2,Choose & Attribute,Understand / Apply,4,"1, 14",Choose the right AI tool,Module 2: Do you know what AI can do?,Foundational,Lesson section,Articulate Rise,https://rise.articulate.com/share/fRP7fjoWsWuSXljLxc2dF011IycTdmdL#/lessons/_3dr-VqskB18C8sq3TPuSG2e-zUIxdTC,Calibrate expectations about what GenAI can and cannot do.,"Module 2: Awareness of GenAI Applications, section: Do you know what AI can do?",3. First hands-on,Existing
2,Choose & Attribute,Understand / Apply,5,"9, 10, 12",Disclose & attribute AI use,Ethical AI key terms,Foundational,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-3-overview-2,Vocabulary for responsible AI use.,Canvas page: module-3-overview-2,6. Responsible use,Existing
2,Choose & Attribute,Understand / Apply,6,"9, 10, 12",Disclose & attribute AI use,Principled Innovation,Foundational,Hub page,AI-X Framework,https://aix-framework.lei-tech.org/principled-innovation,ASU's Principled Innovation framing — the ethical lens behind every AI-X tool.,Principled Innovation overview page,6. Responsible use,Existing
2,Choose & Attribute,Understand / Apply,7,"9, 10, 12",Disclose & attribute AI use,Module 3: Core values for AI use,Foundational,Lesson section,Articulate Rise,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/tai1yFyVRajyPWKuEhr_OV74I_C6iUok,Anchor values that should guide GenAI adoption.,"Module 3: Ethics & Responsible Use, section: Core values for AI use",6. Responsible use,Existing
2,Choose & Attribute,Understand / Apply,8,"1, 9, 10, 12",Choose the right AI tool,AI Tools at ASU,Foundational,Tool inventory,LX ASU AI,https://lx.asu.edu/ai/foundations,Which AI tools are approved and how to access them.,"Foundations page, 'AI Tools at ASU' section",6. Responsible use,Existing
2,Choose & Attribute,Understand / Apply,9,"9, 10, 12",Disclose & attribute AI use,"Fairness, security, transparency in AI use",Intermediate,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-3-overview-2,"Apply fairness, security, and transparency considerations.",Canvas page: module-3-overview-2,6. Responsible use,Existing
2,Choose & Attribute,Understand / Apply,10,"9, 10, 12",Disclose & attribute AI use,Module 3: Risks and benefits of GenAI,Intermediate,Lesson section,Articulate Rise,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/4RYoG2M2PTeGho2YVa6Zadk0cuwT64rC,Balanced view of opportunities vs risks.,"Module 3: Ethics & Responsible Use, section: Risks and benefits of GenAI",6. Responsible use,Existing
2,Choose & Attribute,Understand / Apply,11,"1, 9, 10, 12",Choose the right AI tool,Vendor IT Risk Assessment (VITRA),Intermediate,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/the-important-role-of-vendor-it-risk-assessment-vitra,ASU's required VITRA process before integrating any third-party AI tool.,Canvas page: the-important-role-of-vendor-it-risk-assessment-vitra,6. Responsible use,Existing
2,Choose & Attribute,Understand / Apply,12,"1, 9, 10, 12",Choose the right AI tool,AI and the VITRA Process,Intermediate,Featured page,LX ASU AI,https://lx.asu.edu/ai/foundations,How VITRA applies in practice when picking AI tools.,"Foundations page, 'Featured use cases → AI and the VITRA Process' section",6. Responsible use,Existing
2,Choose & Attribute,Understand / Apply,13,"3, 9, 10, 12","Balance curiosity, care, clarity","Module 3: Equity, data security, privacy & research",Advanced,Lesson section,Articulate Rise,https://rise.articulate.com/share/LZmZZ-KMIhK7vDZxyC2e8ThCFkfQ5T01#/lessons/ndxtnxm6vFVx77d7_BV9LSmXGZcn5zZe,"Equity, privacy, security, and research-integrity considerations.","Module 3: Ethics & Responsible Use, section: Equity, data security, privacy & research",6. Responsible use,Existing
2,Choose & Attribute,Understand / Apply,14,"9, 10, 12",Disclose & attribute AI use,Develop an AI policy/vision,Advanced,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-3-overview-2,Draft an ethical AI policy/vision for your course or unit.,Canvas page: module-3-overview-2,6. Responsible use,Existing
3,Converse & Research,Apply,1,"2, 5",Iterative conversation & brainstorming,Input quality = output quality,Foundational,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Foundational principle: prompt quality drives output quality.,PDF page 2,4. Prompting,Existing
3,Converse & Research,Apply,2,"2, 5",Iterative conversation & brainstorming,Zero-Shot Prompting,Foundational,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,The simplest prompt pattern: a single direct instruction.,PDF page 2,4. Prompting,Existing
3,Converse & Research,Apply,3,"2, 5",Iterative conversation & brainstorming,Module 4: Steps for an effective prompt,Foundational,Lesson section,Articulate Rise,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/K0OMFl0s_2SIUThBCuYlAR63-lF5xI9P,Step-by-step procedure for writing a better prompt.,"Module 4: Designing Prompts, section: Steps for an effective prompt",4. Prompting,Existing
3,Converse & Research,Apply,4,"2, 5",Iterative conversation & brainstorming,RTF Framework: Role-Task-Format,Foundational,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=5,Role-Task-Format: the simplest reusable framework.,PDF page 5,4. Prompting,Existing
3,Converse & Research,Apply,5,"2, 5",Iterative conversation & brainstorming,Few-Shot Prompting,Intermediate,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Provide examples in the prompt — ~80% of practical prompting.,PDF page 2,4. Prompting,Existing
3,Converse & Research,Apply,6,"2, 5",Iterative conversation & brainstorming,Chain of Thought,Intermediate,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Ask the model to walk through reasoning before answering.,PDF page 2,4. Prompting,Existing
3,Converse & Research,Apply,7,"2, 5",Iterative conversation & brainstorming,Hashtags (#) for prompt structure,Intermediate,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=3,Use #Role #Task #Audience #Format labels to structure prompts.,PDF page 3,4. Prompting,Existing
3,Converse & Research,Apply,8,"2, 5",Iterative conversation & brainstorming,Module 4: Uses and example prompts,Intermediate,Lesson section,Articulate Rise,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/mLUbJCZLDsudL59sErOmxBSYEePgUUYF,Sample prompts for common educator tasks.,"Module 4: Designing Prompts, section: Uses and example prompts",4. Prompting,Existing
3,Converse & Research,Apply,9,"2, 5",Iterative conversation & brainstorming,Strategies for crafting effective prompts,Intermediate,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-4-overview-2,Canvas-side reinforcement of prompting strategies.,Canvas page: module-4-overview-2,4. Prompting,Existing
3,Converse & Research,Apply,10,"2, 5",Iterative conversation & brainstorming,Tree of Thought,Advanced,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=2,Generate multiple distinct reasoning paths for comparison.,PDF page 2,4. Prompting,Existing
3,Converse & Research,Apply,11,"2, 5",Iterative conversation & brainstorming,Metaprompting,Advanced,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=3,Ask the AI to improve your prompt or expose what you missed.,PDF page 3,4. Prompting,Existing
3,Converse & Research,Apply,12,"2, 5",Edit & refine AI output,RODES: Role-Objective-Details-End-Sense Check,Advanced,Reading,PDF,https://drive.google.com/file/d/1eoJvnLNMY-nW18z8hkWRq8gNqRpoGaO-/view#page=5,"Five-part framework with built-in self-check, for high-stakes deliverables.",PDF page 5,4. Prompting,Existing
3,Converse & Research,Apply,13,"2, 5",Edit & refine AI output,Advanced Prompting Strategies,Advanced,Featured page,LX ASU AI,https://lx.asu.edu/ai/foundations,ASU-curated showcase of advanced prompting moves.,"Foundations page, 'Prompting' section; Video: https://www.youtube.com/watch?v=tB9evEvq0Ck",4. Prompting,Existing
3,Converse & Research,Apply,14,"2, 5",Edit & refine AI output,Module 4: Advanced prompting strategies for educators,Advanced,Lesson section,Articulate Rise,https://rise.articulate.com/share/Ih949hPlICDdUyw0OtVdBtg6EWYn0V3n#/lessons/p3bPg3Uzqc0OEzzXPfnBcNHva1NtQlFT,Educator-tailored advanced prompting walkthrough.,"Module 4: Designing Prompts, section: Advanced prompting strategies for educators",4. Prompting,Existing
4,Verify & Analyze,Analyze / Evaluate,1,"3, 4, 10",Fact-check AI claims,Key terms for evaluating GenAI outputs,Foundational,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,"Vocabulary for evaluating AI outputs (hallucination, bias, accuracy).",Canvas page: module-5-overview-2,5. Trust & verify output,Existing
4,Verify & Analyze,Analyze / Evaluate,2,"3, 4, 10",Fact-check AI claims,Identify hallucinations and bias,Intermediate,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,Practice spotting hallucinations and bias in a real ChatGPT conversation.,Canvas page: module-5-overview-2,5. Trust & verify output,Existing
4,Verify & Analyze,Analyze / Evaluate,3,"3, 4",Fact-check AI claims,"Module 5: Outputs, model structure & influences",Intermediate,Lesson section,Articulate Rise,https://rise.articulate.com/share/neRp9GXIiP_1H2ekM4AMptyl07aL4qYf#/lessons/p0hlrcmzSrbDFAl04IOfbCLlJReJtJbe,How model structure and training data shape what comes out.,"Module 5: Evaluating Outputs, section: Outputs, model structure & influences",5. Trust & verify output,Existing
4,Verify & Analyze,Analyze / Evaluate,4,"3, 4",Fact-check AI claims,Apply RACCCA evaluation method,Advanced,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,"Use RACCCA (Relevance, Accuracy, Currency, Credibility, Coverage, Audience) on real output.",Canvas page: module-5-overview-2,5. Trust & verify output,Existing
4,Verify & Analyze,Analyze / Evaluate,5,"3, 4",Fact-check AI claims,Module 5: RACCCA: evaluating AI output,Advanced,Lesson section,Articulate Rise,https://rise.articulate.com/share/neRp9GXIiP_1H2ekM4AMptyl07aL4qYf#/lessons/UCOXv7CqR8t-vjK253QRvY42IMH0zgq5,Interactive walkthrough of RACCCA in a Rise lesson.,"Module 5: Evaluating Outputs, section: RACCCA: evaluating AI output",5. Trust & verify output,Existing
4,Verify & Analyze,Analyze / Evaluate,6,"3, 4, 10",Fact-check AI claims,Risks and limitations of LLMs,Advanced,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-5-overview-2,"Critical evaluation of LLM impacts, risks, and limitations.",Canvas page: module-5-overview-2,5. Trust & verify output,Existing
4,Verify & Analyze,Analyze / Evaluate,7,7,Analyze data with AI + privacy,Understanding FERPA in the Context of Generative AI,Foundational,Reading,External (NMU),https://nmu.edu/ctl/understanding-ferpa-context-generative-ai-guide-faculty,Faculty guide on how generative AI intersects with FERPA regulations.,Full guide page — sections on consent and anonymization and vendor management,NEW,New (Gap — Skill 7)
4,Verify & Analyze,Analyze / Evaluate,8,7,Analyze data with AI + privacy,Artificial Intelligence and University Data Policy,Foundational,Reading,External (NMU),https://nmu.edu/policies/1560/Guideline,University policy: FERPA-protected data cannot be inputted into AI without CISO permission.,Full policy page — Section 3: AI and Protected Data,NEW,New (Gap — Skill 7)
4,Verify & Analyze,Analyze / Evaluate,9,7,Analyze data with AI + privacy,Data Privacy and Security for Microsoft 365 Copilot,Intermediate,Reading,External (Microsoft),https://learn.microsoft.com/en-us/copilot/microsoft-365/microsoft-365-copilot-privacy,"How Copilot protects data in Excel: encryption, retention, compliance.",Full documentation page — sections on data flow and compliance certifications and tenant isolation,NEW,New (Gap — Skill 7)
4,Verify & Analyze,Analyze / Evaluate,10,7,Analyze data with AI + privacy,Generative AI in Google Workspace Privacy Hub,Intermediate,Reading,External (Google),https://support.google.com/a/answer/15706919,"Data privacy when using Gemini in Sheets: data isolation, compliance, DLP.",Full support article — sections on data handling and admin controls and DLP configuration,NEW,New (Gap — Skill 7)
4,Verify & Analyze,Analyze / Evaluate,11,7,Analyze data with AI + privacy,AI Literacy: Faculty Ethics and Inclusivity,Foundational,Reading,External (NMU),https://nmu.edu/ai-literacy-initiative/faculty-ethics-academia-and-inclusivity,"Ethical AI use in academic settings: privacy, transparency, responsible use.",Full initiative page — Faculty resources section,NEW,New (Gap — Skill 7)
5,Create & Innovate,Evaluate / Create,1,"9, 11",Use AI creatively,Importance of well-crafted prompts,Foundational,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-4-overview-2,Reconnect prompting to teaching outcomes.,Canvas page: module-4-overview-2,7. Apply to teaching,Existing
5,Create & Innovate,Evaluate / Create,2,"9, 11",Use AI creatively,Syllabus statements for generative AI,Intermediate,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/syllabus-statements-for-generative-ai,Sample/required language for communicating AI policy in a syllabus.,Canvas page: syllabus-statements-for-generative-ai,7. Apply to teaching,Existing
5,Create & Innovate,Evaluate / Create,3,"9, 11",Use AI creatively,AI-Enhanced Assignments,Intermediate,Page,LX ASU AI,https://lx.asu.edu/ai/ai-enhanced-learning,Designing assignments that integrate GenAI thoughtfully.,"AI-enhanced learning page, 'AI-Enhanced Assignments' section",7. Apply to teaching,Existing
5,Create & Innovate,Evaluate / Create,4,"9, 11",Use AI creatively,AI-supported Teaching Practices,Intermediate,Page,LX ASU AI,https://lx.asu.edu/ai/ai-enhanced-learning,Day-to-day teaching practices that leverage AI.,"AI-enhanced learning page, 'AI-supported Teaching Practices' section",7. Apply to teaching,Existing
5,Create & Innovate,Evaluate / Create,5,"9, 11",Use AI creatively,Module 6: Streamlining lesson planning with AI,Intermediate,Lesson section,Articulate Rise,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE#/lessons/KKbpjYxZVBe3q-3uuyie4Q8Aum181Ulq,Use AI to accelerate lesson-planning workflows.,"Module 6: Integrating GenAI into Teaching, section: Streamlining lesson planning with AI",7. Apply to teaching,Existing
5,Create & Innovate,Evaluate / Create,6,"9, 11",Use AI creatively,Module 6: Facilitating technological literacy,Intermediate,Lesson section,Articulate Rise,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE#/lessons/-_YWWDeCNWbhrRqiygPgheIlz7QauuQO,Building AI/tech literacy among students.,"Module 6: Integrating GenAI into Teaching, section: Facilitating technological literacy",7. Apply to teaching,Existing
5,Create & Innovate,Evaluate / Create,7,"9, 11",Use AI creatively,Course design that fosters AI fluency,Advanced,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-6-overview-2,"Design coursework so AI is a learning aid, not a substitute.",Canvas page: module-6-overview-2,7. Apply to teaching,Existing
5,Create & Innovate,Evaluate / Create,8,"9, 11",Use AI creatively,Module 6: Rethinking assessment with GenAI,Advanced,Lesson section,Articulate Rise,https://rise.articulate.com/share/AzCFyWdS4FDAY-5TT4YStVaHmxMUFNfE#/lessons/AOxSmIBgqgGzIRln4YUSsTh5GqT_mccL,Redesign assessments in the age of GenAI.,"Module 6: Integrating GenAI into Teaching, section: Rethinking assessment with GenAI",7. Apply to teaching,Existing
5,Create & Innovate,Evaluate / Create,9,"9, 11",Use AI creatively,"Inclusive, accessible AI assignments",Advanced,Reading,Canvas,https://canvas.asu.edu/courses/157584/pages/module-6-overview-2,Design GenAI-leveraging assignments that are inclusive and accessible.,Canvas page: module-6-overview-2,7. Apply to teaching,Existing
5,Create & Innovate,Evaluate / Create,10,8,Create visuals with AI,Quick Guide to Creating Accessible Presentations,Foundational,Reading,External (TTU),https://www.ttu.edu/accessibility/digital-accessibility/docs/accessible-powerpoint-guide.html,Accessibility for AI-generated visuals: alt text review and design consistency.,Full guide — sections on alt text and color contrast and slide structure,NEW,New (Gap — Skill 8)
5,Create & Innovate,Evaluate / Create,11,8,Create visuals with AI,AI Tools for Presentations (UC Library Guide),Foundational,Reading,External (UC),https://guides.libraries.uc.edu/ai-education/presentation,"Comparison of AI presentation tools, accuracy limitations, and best practices.",Full research guide — tool comparison table and best practices section,NEW,New (Gap — Skill 8)
5,Create & Innovate,Evaluate / Create,12,8,Create visuals with AI,AI Tools for Accessibility (UC Library Guide),Intermediate,Reading,External (UC),https://guides.libraries.uc.edu/ai-education/accessibility,"AI tools for accessibility: text-to-speech, image descriptions, inclusive design.",Full research guide — tool listings with accessibility use cases,NEW,New (Gap — Skill 8)
5,Create & Innovate,Evaluate / Create,13,8,Create visuals with AI,Mermaid Diagramming Tool,Intermediate,Tool,External (Open Source),https://mermaid.js.org/,"Open-source text-to-diagram tool for flowcharts, UML, architecture visuals.",Homepage → 'Get Started' section; live editor at mermaid.live,NEW,New (Gap — Skill 8)
5,Create & Innovate,Evaluate / Create,14,8,Create visuals with AI,DiagramGPT — AI Diagram Generator,Intermediate,Tool,External (Eraser),https://www.eraser.io/diagramgpt,AI-powered diagram generation from natural language descriptions.,Landing page with interactive demo — enter text description to generate diagram,NEW,New (Gap — Skill 8)
6,Design AI Experiences,Apply → Create (Builder Track),1,12,"Balance curiosity, care, clarity",AI-X Framework overview,Foundational,Hub page,AI-X Framework,https://aix-framework.lei-tech.org/home,Orient to the four AI-X tools and the design process.,AI-X Framework home page,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),2,12,"Balance curiosity, care, clarity",AI-X Toolkit overview,Foundational,Hub page,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit-home,Menu of design tools by stage (Challenge → Creation → Implementation → Investigation).,AI-X Toolkit home (stage selector),8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),3,12,"Balance curiosity, care, clarity",Challenge: Getting Started,Foundational,Reading,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/challenge-getting-started,"Define learning objectives, learners, and conditions before solutioning.",Toolkit → Challenge stage → Getting Started,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),4,"2, 12","Balance curiosity, care, clarity",Five Whys Technique,Intermediate,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/five-whys,Iterative root-cause questioning for the educational problem.,Toolkit → Challenge → Five Whys Technique,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),5,12,"Balance curiosity, care, clarity",Task Analysis,Intermediate,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/task-analysis,Decompose what learners must do into cognitive and procedural steps.,Toolkit → Challenge → Task Analysis,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),6,12,"Balance curiosity, care, clarity",Personas & Learning Scenarios,Intermediate,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/personas,Build representative learner personas and scenarios.,Toolkit → Challenge → Personas & Learning Scenarios,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),7,12,"Balance curiosity, care, clarity",Stakeholder Needs & Values,Intermediate,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/stakeholder-needs,Surface needs and values of all impacted stakeholders.,Toolkit → Challenge → Stakeholder Needs & Values,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),8,12,"Balance curiosity, care, clarity",Sense-Making Ethical Evaluation,Advanced,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/ethical-evaluation,Structured ethical evaluation of an AI tool idea before building.,Toolkit → Challenge → Sense-Making Ethical Evaluation,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),9,12,"Balance curiosity, care, clarity",AI-X Compass (self-assessment),Intermediate,Self-assessment,AI-X Framework,https://aix-framework.lei-tech.org/compass,20-25 minute guided self-assessment of an AI-X idea.,AI-X Compass (interactive self-assessment tool),8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),10,12,"Balance curiosity, care, clarity",Creation: Getting Started,Foundational,Reading,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/creation-getting-started,Orientation for design and development of an AI tool.,Toolkit → Creation stage → Getting Started,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),11,12,"Balance curiosity, care, clarity",Prototyping,Intermediate,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/prototyping,Build low/high-fidelity prototypes to test design intent.,Toolkit → Creation → Prototyping,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),12,12,"Balance curiosity, care, clarity",Requirements,Intermediate,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/requirements,Capture functional and non-functional requirements.,Toolkit → Creation → Requirements,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),13,"3, 12","Balance curiosity, care, clarity",Learning Sciences Roadmap,Advanced,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/learning-sciences,Ground design decisions in learning-sciences research.,Toolkit → Creation → Learning Sciences Roadmap,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),14,12,"Balance curiosity, care, clarity",Logic Model,Advanced,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/logic-model,Map inputs → activities → outputs → outcomes → impact.,Toolkit → Creation → Logic Model,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),15,12,"Balance curiosity, care, clarity",Data Plan,Advanced,Tool,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/data-plan,"Plan what data the tool collects, stores, and uses.",Toolkit → Creation → Data Plan,8. Design AI experiences,Existing
6,Design AI Experiences,Apply → Create (Builder Track),16,12,"Balance curiosity, care, clarity",Implementation: Getting Started,Foundational,Reading,AI-X Framework,https://aix-framework.lei-tech.org/aix-toolkit/implementation-getting-started,Orientation for testing the tool in real conditions.,Toolkit → Implementation stage → Getting Started,8. Design AI experiences,Existing
